rank,store_id,store_name,website,area,primary_category,products
1,manual_miswag,Miswag,https://miswag.com/,,Marketplace,73882
2,city_mosul_ChIJ4RyzxkuTB0AR2wItPn7GgZE,Technical center المجمع التقني (صفاء الشيخ),http://tc-safa.com/,,Cameras,7763
3,city_baghdad_ChIJJ_D-EsCBVxUR8kxlrW6YpvY,المدينة الالكترونية للحلول الهندسية والالكترونية,https://ecity-iq.com/,,Electronics,4233
4,city_baghdad_ChIJH4P8BAB_VxUR6l-73kr7A3U,عالم القلعة,http://www.aalam-alqalaa.iq/,,Phones,3764
5,scraped_pointiraq_com,Pointiraq,https://pointiraq.com/,Online,Electronics,2878
6,city_basra_ChIJESSkBkuXxD8RuNOkCdjZhgA,شركة النبع للحاسبات و تقنيات المعلومات البصرة,http://store.alnabaa.com/,,Electronics,2242
7,scraped_store_alnabaa_com,Al Nabaa Store,https://store.alnabaa.com/,Online,Electronics,2233
8,city_erbil_ChIJSyJKHwAjB0ARZK-YbHq8e64,Darin Game,https://www.daringaming.com/,,Gaming,1924
9,city_baghdad_ChIJddn1mI2BVxURUuvXQX2xddI,UrukTech Store,http://www.uruktech.com/,,Electronics,1823
10,city_baghdad_ChIJB0WOYWF-VxURzL519ZXXS4U,عين الفهد جملة فقط,https://shop.aynalfahad.com/,,Phones,1552
11,scraped_shop_aynalfahad_com,Shop Aynalfahad,https://shop.aynalfahad.com/,Online,Electronics,1534
12,manual_elryan,ElRyan,https://www.elryan.com/,,Marketplace,1350
13,city_erbil_ChIJZcCRuU8jB0ARrGEniO387g8,ElRyan Showroom (Samsung & Sony),https://www.elryan.com/,,Electronics,1350
14,city_baghdad_ChIJRSZTjnGBVxURHtXfyYuYg20,Apple center,https://www.apple.com/,,Tablets,1185
15,city_baghdad_ChIJczzfZH2BVxURbtacWPZTZu4,شركة العالمية للحاسبات - القيم العالمية,https://globaliraq.iq/,,Electronics,1123
16,scraped_globaliraq_iq,Global Iraq,https://globaliraq.iq/,Online,Electronics,1119
17,scraped_istyle_iq,Istyle,https://istyle.iq/,Online,Electronics,1111
18,city_baghdad_ChIJ9wdmqcB_VxURSmGqzzdeY78,iSTYLE Apple Premium Reseller - Amirat Store,http://www.istyle.iq/,,Electronics,1111
19,city_baghdad_ChIJHVwYzraBVxUR77zs1lxOO2Y,iSTYLE Apple Premium Reseller - Arasat Store,https://istyle.iq/,,Tablets,1111
20,city_basra_ChIJ9StuMLGXxD8Ruz0RafOq4w4,iSTYLE Apple Premium Reseller - Basra Store,https://istyle.iq/,,Phones,1111
21,city_sulaymaniyah_ChIJF0FeMwAtAEARDjb1DXAJTwg,Hawranj Store,https://hawranj.com/,,Electronics,1084
22,city_karbala_ChIJk2niOo5pWRURdh5Duq2Jl0s,شركه الحافظ لبيع الاجهزه الكهربائيه,https://alhafidh.com/,,Electronics,1077
23,city_basra_ChIJJaNUs1uZxD8RVlNBbj2xYcE,مجموعة الحافظ - المعرض الرئيسي (البصره) ALHAFIDH BASRA,http://www.alhafidh.com/,,Electronics,1074
24,city_baghdad_ChIJ47OHlHyBVxURDc94Hk7NC54,معرض الحافظ بغداد,http://www.alhafidh.com/,,Smart Devices,1074
25,city_sulaymaniyah_ChIJs9921eEtAEARw3kIpfg7sJY,Kurd Electronic,https://www.kurdelectronic.com/,,Electronics,1063
26,city_baghdad_ChIJmUuuen2BVxURuImxXpCSDk0,الفواز للحاسبات,https://alfawaz.com.iq/,,Electronics,1055
27,scraped_alfawaz_com_iq,Alfawaz,https://alfawaz.com.iq/,Online,Electronics,1049
28,scraped_www_icenter_iraq_com,Icenter Iraq,https://www.icenter-iraq.com/,Online,Electronics,1009
29,city_baghdad_ChIJReQL0x5_VxURE4TJwB2T3q0,iCenter Baghdad Al Mansour (Apple Authorised Reseller),https://www.icenter-iraq.com/,,Tablets,1009
30,city_baghdad_ChIJ5UzswoCDVxURA3e9BW10PSk,iCenter Baghdad Rubaie (Apple Authorised Reseller),https://www.icenter-iraq.com/,,Tablets,1009
