name,website,status,connector,products,offers,city,cityAr,area,lastSync,id
Miswag,https://miswag.com/,probe_pending,miswag_nuxt,73882,13443,Baghdad,,,2026-04-21T03:11:47.061Z,manual_miswag
Technical center المجمع التقني (صفاء الشيخ),http://tc-safa.com/,probe_pending,woocommerce,7763,2,Mosul,الموصل,,2026-04-21T04:36:45.073Z,city_mosul_ChIJ4RyzxkuTB0AR2wItPn7GgZE
المدينة الالكترونية للحلول الهندسية والالكترونية,https://ecity-iq.com/,probe_pending,shopify,4233,2,Baghdad,بغداد,,2026-04-21T03:27:26.304Z,city_baghdad_ChIJJ_D-EsCBVxUR8kxlrW6YpvY
عالم القلعة,http://www.aalam-alqalaa.iq/,probe_pending,woocommerce,3764,0,Baghdad,بغداد,,2026-04-21T03:39:06.328Z,city_baghdad_ChIJH4P8BAB_VxUR6l-73kr7A3U
انور ابل زيونة شارع الربيعي,https://anwar-apple.com/,probe_pending,woocommerce,3219,0,Baghdad,بغداد,,2026-04-21T03:19:00.696Z,city_baghdad_ChIJxcTQWcWDVxURAmIZ6xMqvIo
Pointiraq,https://pointiraq.com/,indexed,shopify,2845,635,,,Online,2026-04-20T04:08:13.076Z,scraped_pointiraq_com
شركة النبع للحاسبات و تقنيات المعلومات البصرة,http://store.alnabaa.com/,probe_pending,shopify,2242,69,Basra,البصرة,,2026-04-21T03:32:41.708Z,city_basra_ChIJESSkBkuXxD8RuNOkCdjZhgA
Al Nabaa Store,https://store.alnabaa.com/,indexed,shopify,2237,58,,,Online,2026-04-20T00:42:00.468Z,scraped_store_alnabaa_com
Tech Mart,https://techmart.krd/,probe_pending,generic_json_catalog,2122,0,Sulaymaniyah,السليمانية,,2026-04-21T04:38:14.555Z,city_sulaymaniyah_ChIJl2sHP3gtAEAR3jerm5Kj1qE
UrukTech Store,http://www.uruktech.com/,probe_pending,woocommerce,1823,621,Baghdad,بغداد,,2026-04-21T04:38:49.185Z,city_baghdad_ChIJddn1mI2BVxURUuvXQX2xddI
عين الفهد جملة فقط,https://shop.aynalfahad.com/,probe_pending,tlcommerce_api,1552,202,Baghdad,بغداد,,2026-04-21T03:39:24.350Z,city_baghdad_ChIJB0WOYWF-VxURzL519ZXXS4U
ElRyan,https://www.elryan.com/,probe_pending,magento_vsf,1350,124,Erbil,,,2026-04-21T05:03:04.730Z,manual_elryan
Apple center,https://www.apple.com/,probe_pending,generic_json_catalog,1180,0,Baghdad,بغداد,,2026-04-21T03:59:09.734Z,city_baghdad_ChIJRSZTjnGBVxURHtXfyYuYg20
شركة العالمية للحاسبات - القيم العالمية,https://globaliraq.iq/,probe_pending,shopify,1123,154,Baghdad,بغداد,,2026-04-21T03:32:24.626Z,city_baghdad_ChIJczzfZH2BVxURbtacWPZTZu4
Hawranj Store,https://hawranj.com/,probe_pending,generic_sitemap_html,1118,0,Sulaymaniyah,السليمانية,,2026-04-21T04:11:00.900Z,city_sulaymaniyah_ChIJF0FeMwAtAEARDjb1DXAJTwg
Istyle,https://istyle.iq/,indexed,shopify,1111,0,,,Online,2026-04-20T01:08:25.902Z,scraped_istyle_iq
iSTYLE Apple Premium Reseller - Amirat Store,http://www.istyle.iq/,probe_pending,shopify,1111,0,Baghdad,بغداد,,2026-04-21T04:18:49.045Z,city_baghdad_ChIJ9wdmqcB_VxURSmGqzzdeY78
شركة ميامين العالم للتجارة العامة ((المستودع الرئيسي )),http://mayamen-world.com/,probe_pending,generic_json_catalog,1076,0,Karbala,كربلاء,,2026-04-21T03:37:41.940Z,city_karbala_ChIJ8xv5ZQBrWRURy9t727V-jwI
شركه الحافظ لبيع الاجهزه الكهربائيه,https://alhafidh.com/,probe_pending,shopify,1074,190,Karbala,كربلاء,,2026-04-21T03:36:41.592Z,city_karbala_ChIJk2niOo5pWRURdh5Duq2Jl0s
مجموعة الحافظ - المعرض الرئيسي (البصره) ALHAFIDH BASRA,http://www.alhafidh.com/,probe_pending,shopify,1074,190,Basra,البصرة,,2026-04-21T03:44:07.208Z,city_basra_ChIJJaNUs1uZxD8RVlNBbj2xYcE
Kurd Electronic,https://www.kurdelectronic.com/,probe_pending,woocommerce,1063,0,Sulaymaniyah,السليمانية,,2026-04-21T04:21:24.744Z,city_sulaymaniyah_ChIJs9921eEtAEARw3kIpfg7sJY
الفواز للحاسبات,https://alfawaz.com.iq/,probe_pending,woocommerce,1055,152,Baghdad,بغداد,,2026-04-21T03:16:09.296Z,city_baghdad_ChIJmUuuen2BVxURuImxXpCSDk0
ئای سەنتەر (هەولێر),https://www.icenter-iraq.com/,probe_pending,woocommerce,1009,96,Erbil,أربيل,,2026-04-21T03:15:41.916Z,city_erbil_ChIJBfQdtm0iB0ARd90KxAEGNpQ
مجمع الايمان للحاسبات,https://alemanmarket.com/,probe_pending,shopify,932,22,Basra,البصرة,,2026-04-21T03:43:15.860Z,city_basra_ChIJW90Jr_qZxD8ReEtccoftuN8
سەنتەری دیما,https://dima.center/,probe_pending,woocommerce,920,11,Sulaymaniyah,السليمانية,,2026-04-21T03:31:07.921Z,city_sulaymaniyah_ChIJ4876gT0sAEARKvOejs5opto
Masterstoreiq,https://www.masterstoreiq.com/,indexed,masterstore_next,886,86,,,Online,2026-04-20T01:10:30.252Z,scraped_www_masterstoreiq_com
Master Store Basra - Apple Premium Reseller,https://masterstoreiq.com/,probe_pending,masterstore_next,884,4,Basra,البصرة,,2026-04-21T05:06:32.311Z,city_basra_ChIJzUa4YQCZxD8RJfuu1lVASug
Master Store-Apple Premium Reseller & Authorised Service Provider,http://www.masterstoreiq.com/,probe_pending,masterstore_next,884,4,Erbil,أربيل,,2026-04-21T05:08:13.530Z,city_erbil_ChIJ5TUHbQAjB0AR3Q92RSA4tFg
متجر مكازان بغداد,http://www.m5-baghdad.uk/,probe_pending,woocommerce,799,9,Baghdad,بغداد,,2026-04-21T03:43:11.446Z,city_baghdad_ChIJRcluZiuDVxUR_7GoTIqXE_A
ليث للحاسبات,http://www.lcc-iq.shop/,probe_pending,woocommerce,772,0,Basra,البصرة,,2026-04-21T03:42:45.450Z,city_basra_ChIJvRQYQhuZxD8RALFBP07LHoY
Golden Byte Center,http://goldenbytecenter.com/,probe_pending,woocommerce,738,55,Kirkuk,كركوك,,2026-04-21T04:08:57.139Z,city_kirkuk_ChIJlVvSaf7XVBURJxA8436ZIG4
شركة اياد لتجارة مستلزمات التصوير الاحترافي,https://ayad-company.com/,probe_pending,woocommerce,713,184,Baghdad,بغداد,,2026-04-21T03:33:06.113Z,city_baghdad_ChIJvx7_JrWDVxURYKoBgXo_r5M
3D مركز,https://www.3d-iraq.com/,probe_pending,threed_iraq,663,0,Baghdad,بغداد,,2026-04-21T03:14:14.556Z,city_baghdad_ChIJKy_JW2jVWRURk6T0YpeM91I
مركز سمارت / شركة القاموس / ايفولس العراق,http://www.alkamous.com/,probe_pending,woocommerce,644,0,Baghdad,بغداد,,2026-04-21T03:45:53.263Z,city_baghdad_ChIJB13bzYGBVxURKN8OmyX9Iak
مركز تليفوني,https://www.telephony-store.com/,probe_pending,woocommerce,611,77,Baghdad,بغداد,,2026-04-21T03:45:27.816Z,city_baghdad_ChIJ2dGkomB-VxURtgG6dN5lqTY
جي فاير للموبايل,http://www.jifirephone.com/,probe_pending,shopify,499,416,Najaf,النجف,,2026-04-21T03:28:44.117Z,city_najaf_ChIJ0eYhKQDRXhURSJC_tlN0_14
iZone,https://www.izoneiraq.com/,probe_pending,generic_json_catalog,473,0,Erbil,أربيل,,2026-04-21T04:20:18.393Z,city_erbil_ChIJp6cTFFAjB0ARZQr2kHMW5rw
شركة جنة الفرح للحاسبات,http://www.alfarah-store.com/,probe_pending,shopify,439,74,Baghdad,بغداد,,2026-04-21T03:33:27.970Z,city_baghdad_ChIJw-ae_X2BVxURR8SxEAAIqZk
بايت ستور,http://bytestoreiq.com/,probe_pending,shopify,419,111,Baghdad,بغداد,,2026-04-21T03:24:24.662Z,city_baghdad_ChIJN5KHJAB_VxURNdLfVEb-e0k
Bytestoreiq,https://bytestoreiq.com/,indexed,shopify,419,114,,,Online,2026-04-20T04:42:29.044Z,scraped_bytestoreiq_com
