name,website,status,connector,products,offers,city,cityAr,area,lastSync,id
Pointiraq,https://pointiraq.com/,indexed,shopify,2845,635,,,Online,2026-04-20T04:08:13.076Z,scraped_pointiraq_com
Al Nabaa Store,https://store.alnabaa.com/,indexed,shopify,2237,58,,,Online,2026-04-20T00:42:00.468Z,scraped_store_alnabaa_com
Shop Aynalfahad,https://shop.aynalfahad.com/,indexed,tlcommerce_api,1527,206,,,Online,2026-04-20T04:23:54.289Z,scraped_shop_aynalfahad_com
Global Iraq,https://globaliraq.iq/,indexed,shopify,1122,182,,,Online,2026-04-20T00:43:20.754Z,scraped_globaliraq_iq
Istyle,https://istyle.iq/,indexed,shopify,1111,0,,,Online,2026-04-20T01:08:25.902Z,scraped_istyle_iq
Alfawaz,https://alfawaz.com.iq/,indexed,woocommerce,1046,151,,,Online,2026-04-20T04:08:13.076Z,scraped_alfawaz_com_iq
Icenter Iraq,https://www.icenter-iraq.com/,indexed,woocommerce,1009,96,,,Online,2026-04-20T04:08:13.070Z,scraped_www_icenter_iraq_com
Masterstoreiq,https://www.masterstoreiq.com/,indexed,masterstore_next,886,86,,,Online,2026-04-20T01:10:30.252Z,scraped_www_masterstoreiq_com
3d Iraq,https://www.3d-iraq.com/,indexed,threed_iraq,663,0,,,Online,2026-04-20T04:29:29.589Z,scraped_www_3d_iraq_com
Bytestoreiq,https://bytestoreiq.com/,indexed,shopify,419,114,,,Online,2026-04-20T04:42:29.044Z,scraped_bytestoreiq_com
Jibalzone,https://www.jibalzone.com/ar,indexed,jibalzone_storefront,300,274,,,Online,2026-04-20T01:07:45.791Z,scraped_www_jibalzone_com
Alwafi,https://alwafi.net/,indexed,alwafi_api,175,12,,,Online,2026-04-20T04:23:54.281Z,scraped_alwafi_net
3D مركز,https://www.3d-iraq.com/,probe_pending,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJKy_JW2jVWRURk6T0YpeM91I
3D elcetronics,https://www.3d-iraq.com/,probe_pending,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJuyP6MAmBVxURGf7pWfuM-xw
"7Arts, Web , Design & Printing | شركة الفنون السبعة",https://7arts.me/,probe_pending,,0,0,Basra,البصرة,,,city_basra_ChIJd8D6g1aXxD8RchDoXtpwaLs
ئای سەنتەر (هەولێر),https://www.icenter-iraq.com/,probe_pending,,0,0,Erbil,أربيل,,,city_erbil_ChIJBfQdtm0iB0ARd90KxAEGNpQ
اتقان سمارت هوم - siemens,http://www.eknx-iq.com/,probe_pending,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJKSyHv4KDVxURR_5Gj8nQgHY
